Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
Fill in the blank: The _______ people are known for their rich cultural heritage in Nigeria.,medium,C,Hausa,Igbo,Yoruba,Fulani
Which Nigerian singer is known for the hit 'If'?,medium,B,Wizkid,Davido,Burna Boy,Olamide
Fill in the blank: The _______ is a popular festival celebrated by the Yoruba people.,medium,A,Eyo Festival,Durbar Festival,Osun-Osogbo Festival,Calabar Carnival
The human body consists of approximately _______ percent water.,medium,B,50,60,70,80
Which Nigerian city is famous for its annual arts and culture festival called 'Calabar Carnival'?,easy,C,Abuja,Lagos,Calabar,Port Harcourt
The human body has _______ main organ systems.,medium,C,9,10,11,12
Fill in the blank: The _______ is a popular Nigerian music genre that originated from the Yoruba people.,medium,A,Fuji,Highlife,Afrobeats,Reggae
Fill in the blank: The _______ is a Nigerian ethnic group primarily found in the southeastern region.,medium,C,Yoruba,Hausa,Igbo,Fulani
Which artist is known for the song 'Jealous'?,easy,B,Simi,Fireboy DML,Rema,Omah Lay
The Nigerian independence movement was largely led by which prominent figure?,hard,A,Nnamdi Azikiwe,Obafemi Awolowo,Ahmadu Bello,Michael Okpara
Fill in the blank: The _______ is a popular Nigerian soup made with groundnut paste.,medium,D,Egusi,Ofe Nsala,Bitterleaf,Groundnut Stew
Which Nigerian musician has the nickname 'Omo Baba Olowo'?,easy,B,Tuface Idibia,Davido,Olamide,Phyno
The primary function of the liver is to _______.,medium,D,Produce bile,Filter blood,Store nutrients,All of the above
Fill in the blank: The _______ is a traditional Nigerian dance popular among the Yoruba.,medium,C,Samba,Gumboot,Atilogwu,Gerewu
In which year did Nigeria's military coup take place that brought General Mohammed Buhari to power?,hard,A,1983,1985,1993,1999
Fill in the blank: The _______ is a significant festival celebrated by the Igbo people in Nigeria.,medium,B,Eyo Festival,New Yam Festival,Durbar,Calabar Carnival
Which Nigerian artist is known for the song 'Pana'?,medium,B,Davido,Tekno,Wizkid,Burna Boy
"What significant event took place in Nigeria on January 15, 1966?",medium,B,Independence,Military coup,Civil War,Republic formation
Fill in the blank: The _______ is the largest city in Nigeria by population.,easy,A,Lagos,Abuja,Port Harcourt,Kano
"In Nigeria, the Oba of Lagos is a title held by the traditional ruler of which state?",medium,B,Ogun,Lagos,Osun,Ekiti
Which historical figure is known for leading Nigeria's independence movement?,hard,A,Nnamdi Azikiwe,Obafemi Awolowo,Ahmadu Bello,Michael Imoudu
Fill in the blank: The _______ is a critical organ for detoxification in the human body.,medium,B,Heart,Liver,Kidney,Lung
Who is the Nigerian actor known for the movie 'The Wedding Party'?,medium,B,Jim Iyke,Banky W,Richard Mofe-Damijo,Desmond Elliot
The human skeleton is made up of how many bones at adulthood?,easy,A,206,210,215,220
What major economic reform was introduced in Nigeria in 1986?,hard,A,Structural Adjustment Program,Indigenization Policy,Monetary Policy,Trade Liberalization
"In Nigeria, which artist is often referred to as 'Omo Baba Olowo'?",medium,B,Ice Prince,Davido,Wizkid,Olamide
The body’s immune system is primarily made up of what type of cells?,easy,B,Red blood cells,White blood cells,Platelets,Nerve cells
Fill in the blank: The _______ is the primary site for digestion in the human body.,medium,A,Stomach,Liver,Intestine,Pancreas
"Which Nollywood actress starred in 'Lionheart', Nigeria's first-ever submission for the Oscars?",hard,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Ini Edo,Rita Dominic
Which organ in the body is primarily responsible for pumping blood?,easy,B,Liver,Heart,Lung,Kidney
The classic novel 'Things Fall Apart' was written by which Nigerian author?,medium,A,Chinua Achebe,Wole Soyinka,Ben Okri,Nadine Gordimer
Which popular Nigerian television series follows the lives of a family living in Lagos?,medium,C,Tinsel,Jara,The Johnsons,Gidi Up
Fill in the blank: The _______ is a vital organ for respiration.,easy,C,Heart,Brain,Lung,Liver
What is Nigeria's currency called?,easy,C,Dollars,Pounds,Naira,Euro
Which Nigerian singer has a collaboration titled 'Essence' with Tems?,medium,B,Davido,Wizkid,Burna Boy,Olamide
In which region of Nigeria is the Yoruba ethnic group predominantly found?,medium,B,North,West,East,South
Which popular Nigerian comedian is known for his skits on social media?,medium,C,Ali Baba,Basketmouth,Mr. Macaroni,Bovi
This organ is primarily involved in filtering blood and producing urine. It is the _______.,easy,C,Heart,Liver,Kidney,Pancreas
What was the name of Nigeria's first military ruler after independence?,hard,D,Yakubu Gowon,Murtala Muhammed,Sani Abacha,Johnson Aguiyi-Ironsi
Fill in the blank: The _______ is a famous Nigerian film festival held annually in Lagos.,medium,C,Toronto International Film Festival,Nollywood Film Festival,Africa International Film Festival,Cannes Film Festival
The primary function of the pancreas is to produce _______.,medium,A,Insulin,Bile,Hormones,Enzymes
Which Nigerian musician is known for the hit song 'Soco'?,medium,B,Olamide,Wizkid,Davido,Flavour
"In human anatomy, the term 'cerebral' refers to what part of the body?",medium,B,Liver,Brain,Heart,Lungs
What year did Nigeria become a member of the United Nations?,hard,B,1960,1963,1970,1975
Which Nigerian actress is known for her role in the film 'Half of a Yellow Sun'?,medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Chika Ike,Rita Dominic
The total number of bones in an adult human hand is _______.,medium,A,27,24,30,32
"In Nigeria, the Biafra War was fought primarily due to issues related to _______.",hard,A,Ethnicity,Economy,Religion,Politics
Which popular Nigerian DJ is known for his mix tapes and collaborations with various artists?,medium,B,DJ Neptune,DJ Spinall,DJ Jimmy Jatt,DJ Xclusive
What is the primary function of the human skin?,easy,A,Protection,Digestion,Respiration,Excretion
"In Nigeria, which event is celebrated on October 1st each year?",easy,A,Nigeria's Independence Day,Democracy Day,Labour Day,Eid al-Fitr
Fill in the blank: The _______ is responsible for producing bile in the human body.,medium,C,Pancreas,Stomach,Liver,Gallbladder
This Nigerian actor is famous for his role in the movie 'Living in Bondage'. Who is he?,medium,B,Nkem Owoh,Kanayo O. Kanayo,Richard Mofe-Damijo,Pete Edochie
Fill in the blank: The _______ is a traditional Nigerian attire often worn during ceremonies.,medium,D,Buba,Kaftan,Sokoto,Agbada
The largest artery in the human body is called the _______.,easy,A,Aorta,Pulmonary Artery,Coronary Artery,Femoral Artery
Who was Nigeria’s first female minister?,medium,B,Ngozi Okonjo-Iweala,Margaret Ekpo,Maryam Babangida,Bola Ahmed Tinubu
Which Nigerian musician is known for the song 'African Queen'?,easy,A,2Baba,Wizkid,Davido,Olamide
"In the human body, which part is responsible for producing insulin?",medium,B,Liver,Pancreas,Kidney,Small intestine
What year was Nigeria's first military coup?,hard,C,1960,1963,1966,1970
Fill in the blank: The _______ is a popular Nigerian sport that is played on a rectangular field with a goal at each end.,easy,C,Basketball,Cricket,Football,Rugby
Which Nigerian ruler was known for the establishment of the Sokoto Caliphate?,medium,A,Usman dan Fodio,Obafemi Awolowo,Ahmadu Bello,Sani Abacha
Who is the famous Nigerian author of 'Things Fall Apart'?,easy,A,Chinua Achebe,Wole Soyinka,Ben Okri,Sefi Atta
The part of the brain responsible for regulating balance is the _______.,medium,A,Cerebellum,Cerebrum,Brainstem,Limbic system
Which historical event is commemorated on Nigeria's Democracy Day?,medium,B,End of Civil War,Return to Civilian Rule,Independence Day,Constitution Day
Fill in the blank: The _______ is a popular festival celebrated by the Yoruba people of Nigeria.,easy,A,Eyo Festival,Durbar Festival,Oro Festival,Osun-Osogbo Festival
The human body contains how many chambers in the heart?,medium,C,2,3,4,5
Which Nigerian film won the Africa Movie Academy Award for Best Film in 2016?,hard,B,The Wedding Party,Lionheart,October 1,The Figurine
Who was the military leader during the Nigerian Civil War?,medium,A,Yakubu Gowon,Olusegun Obasanjo,Mohammed Buhari,Muhammadu Buhari
"Fill in the blank: The _______ is a genre of music that originated in Nigeria, characterized by its Afrobeat rhythm.",medium,C,Highlife,Fuji,Juju,Hip-hop
The human body’s largest muscle is the _______.,easy,C,Biceps,Triceps,Gluteus Maximus,Quadriceps
What significant event occurred in Nigeria in 1975?,hard,C,Oil Boom,Civil War,Military Coup,Independence
Who is the Nigerian actress known for her role in the movie 'The Figurine'?,medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Funke Akindele,Rita Dominic
This organ is mainly responsible for absorbing nutrients from food. It is the _______.,medium,C,Stomach,Liver,Small Intestine,Large Intestine
Fill in the blank: The _______ is a traditional Nigerian dance often performed at ceremonies.,easy,C,Samba,Ballet,Atilogwu,Hula
The brain is protected by which of the following?,easy,A,Skull,Rib Cage,Pelvis,Vertebrae
In what year was the Nigerian National Youth Service Corps (NYSC) established?,medium,A,1973,1975,1980,1985
Which genre of music is Burna Boy associated with?,medium,B,Reggae,Afrobeat,Highlife,Rock
This part of the human body is responsible for vision. It is the _______.,easy,B,Ear,Eye,Nose,Skin
What was the primary reason for the British colonization of Nigeria?,medium,D,Trade,Religion,Natives' protection,Natural resources
The human body has how many primary organs?,easy,A,11,13,15,17
The popular Nigerian festival celebrating the Ibo culture is known as the _______.,medium,B,Eyo Festival,New Yam Festival,Durbar Festival,Osun-Osogbo Festival
What is the main function of the kidney in the human body?,easy,B,Produce hormones,Filter blood,Store fat,Regulate temperature
"Fill in the blank: The _______ is a popular fashion style among Nigerian youths, characterized by bold colors and patterns.",easy,D,Buba,Agbada,Jumpsuit,Ankara
"In human anatomy, the trachea is commonly known as the _______.",medium,A,Windpipe,Blood Vessel,Esophagus,Nerve
The 'Abiola' in 'Abiola Ajimobi' refers to a prominent Nigerian __________. ,medium,A,Politician,Musician,Artist,Businessman
The human body consists of how many primary systems?,medium,C,8,10,12,14
Fill in the blank: The _______ is a dance style originating from the Igbo culture in Nigeria.,easy,B,Samba,Atilogwu,Ballet,Hip-hop
Which part of the human body is responsible for hearing?,easy,C,Nose,Eye,Ear,Skin
The 'Boko Haram' insurgency primarily affected which region of Nigeria?,hard,D,Southwest,Southeast,Northcentral,Northeast
Who is the renowned Nigerian comedian known for his stand-up routines?,medium,A,Ali Baba,Basketmouth,AY Makun,Bovi
The human body has how many bones at birth?,easy,B,206,270,300,150
Fill in the blank: The _____ is the smallest bone in the human body.,medium,A,stapes,femur,tibia,humerus
"Known for his energetic performances, which Nigerian artist is often referred to as 'Wizkid's rival'?",medium,A,Davido,Olamide,Burna Boy,Patoranking
Fill in the blank: The brain is divided into the left and right _____ hemispheres.,easy,C,frontal,temporal,cerebral,occipital
Which Nigerian movie won the Best International Feature Film at the Oscars in 2022?,hard,D,The Milkmaid,Eyimofe,Lionheart,Amina
Who is the author of the classic novel 'Things Fall Apart'?,medium,B,Wole Soyinka,Chinua Achebe,Buchi Emecheta,Sefi Atta
The skin is primarily composed of which type of tissue?,easy,B,Muscle,Epithelial,Connective,Nervous
Which Nigerian musician is known for the song 'Onyeoma'?,medium,A,Flavour,2Baba,Patoranking,Phyno
Fill in the blank: The longest bone in the human body is the _____.,easy,B,humerus,femur,tibia,radius
Which Nigerian artist is known for the hit 'Ye' released in 2018?,medium,B,Wizkid,Burna Boy,Davido,Tiwa Savage
The human respiratory system includes which of the following organs?,easy,B,Kidneys,Lungs,Heart,Liver
Fill in the blank: The _____ is the largest part of the human brain.,medium,C,cerebellum,brainstem,cerebrum,thalamus
Which Nigerian independence activist was also a prominent educator and politician?,medium,B,Obafemi Awolowo,Nnamdi Azikiwe,Ahmadu Bello,Fela Kuti
The human body is primarily made up of which element?,easy,A,Oxygen,Carbon,Hydrogen,Nitrogen
Which Nigerian film is recognized for its portrayal of the struggles faced by women in society?,medium,C,The Wedding Party,Lionheart,The Figurine,Amina
The average adult human has approximately how many pints of blood?,medium,A,5-6,7-8,3-4,10-12
Which popular Nigerian artist collaborated with Beyoncé on the song 'Brown Skin Girl'?,medium,A,Wizkid,Davido,Burna Boy,Tiwa Savage
Fill in the blank: The _____ is the organ responsible for filtering blood in the human body.,easy,C,heart,liver,kidney,lung
What was the primary reason for the Biafran War in Nigeria?,hard,C,Civil rights,Economic control,Ethnic differences,Political power
Which Nigerian singer is known for the hit 'Dumebi'?,medium,A,Rema,Olamide,Fireboy DML,Joeboy
The human skeletal system is responsible for which of the following functions?,easy,B,Blood circulation,Protection of organs,Respiration,Digestion
Which Nigerian leader is known for the phrase 'This is Nigeria'?,medium,A,Muhammadu Buhari,Olusegun Obasanjo,Goodluck Jonathan,Umaru Musa Yar'Adua
Fill in the blank: The _____ is the largest muscle in the human body.,easy,B,trapezius,gluteus maximus,quadriceps,biceps
Which Nigerian actress starred in 'The Figurine' and 'The Wedding Party'?,medium,B,Funke Akindele,Genevieve Nnaji,Rita Dominic,Omotola Jalade Ekeinde
In what year did Nigeria's military coup take place that brought General Muhammadu Buhari to power?,hard,A,1983,1985,1993,1999
The human eye is primarily responsible for which sense?,easy,C,Taste,Touch,Sight,Hearing
"Fill in the blank: The _____ is the tough, outer layer of the skin.",medium,A,epidermis,dermis,hypodermis,subcutaneous
Which Nigerian film was the first to be submitted for the Oscars' Best International Feature Film category?,hard,B,The Wedding Party,Lionheart,The Figurine,Half of a Yellow Sun
Which popular Nigerian artist is known for the song 'Fia'?,medium,A,Davido,Wizkid,Olamide,Burna Boy
Fill in the blank: The _____ is the brain's control center and is responsible for processing information.,easy,C,cerebellum,brainstem,cerebrum,hypothalamus
Which Nigerian state was the epicenter of the oil boom in the 1970s?,medium,B,Lagos,Rivers,Delta,Akwa Ibom
The human digestive system begins in which part of the body?,easy,B,Stomach,Mouth,Esophagus,Small intestine
What is the name of the Nigerian artist who gained global fame with the song 'Essence'?,medium,C,Davido,Burna Boy,Wizkid,Rema
Fill in the blank: The _____ is the part of the brain that controls balance and coordination.,medium,A,cerebellum,cerebrum,brainstem,thalamus
Which Nigerian political figure was controversially removed from office in 2015?,hard,A,Goodluck Jonathan,Muhammadu Buhari,Olusegun Obasanjo,Umaru Musa Yar'Adua
Which Nigerian singer is popularly known as 'Mama Africa'?,medium,A,Yemi Alade,Tiwa Savage,Simi,Femi Kuti
The human body produces which fluid to aid digestion?,easy,A,Saliva,Bile,Acid,Insulin
The _______ is the most abundant type of cell in the human body.,easy,B,Neuron,Erythrocyte,Osteocyte,Myocyte
_______ is known for the popular movie 'The Wedding Party'.,easy,B,Kunle Afolayan,Kemi Adetiba,Tunde Kelani,Ibrahim Chatta
_______ is often regarded as the Queen of Afrobeat.,medium,B,Yemi Alade,Tiwa Savage,Simi,Niniola
Fill in the blank: The _______ is the largest part of the human brain responsible for higher functions.,hard,C,Cerebellum,Brainstem,Cerebrum,Thalamus
Who was the first Nigerian woman to win a Nobel Prize?,hard,B,Ngozi Okonjo-Iweala,Wole Soyinka,Chimamanda Ngozi Adichie,Yasmin Alhassan
_______ is famous for the song 'Dumebi' released in 2019.,easy,A,Rema,Fireboy DML,Omah Lay,Davido
The _______ system is responsible for transporting blood throughout the body.,easy,C,Nervous,Skeletal,Circulatory,Respiratory
_______ was the first female president of the Nigerian Bar Association.,hard,D,Amina Augie,Priscilla Kuye,Oluwaseun Abiola,Folake Solanke
The _______ is the main organ responsible for the detoxification of the body.,medium,A,Liver,Kidney,Pancreas,Spleen
Which Nollywood actor won the Africa Movie Academy Award for Best Actor in 2006?,hard,A,Richard Mofe-Damijo,Jim Iyke,Chidi Mokeme,Desmond Elliot
Fill in the blank: The _______ is the basic structural and functional unit of life.,easy,C,Tissue,Organ,Cell,Organism
_______ is known as the 'King of Afrobeat'.,medium,A,Fela Kuti,Burna Boy,Davido,Wizkid
The _______ is the part of the eye responsible for focusing light.,easy,B,Cornea,Lens,Retina,Iris
In which year was Nigeria's first constitution introduced?,hard,A,1946,1954,1960,1979
_______ is the popular Nigerian singer known for 'Risky' featuring Davido.,medium,D,Olamide,Kizz Daniel,Wizkid,Tekno
_______ is the Nigerian musician famous for 'Ye' released in 2018.,easy,B,Olamide,Burna Boy,Patoranking,Mr Eazi
Fill in the blank: The _______ is the organ that produces insulin.,medium,C,Liver,Kidney,Pancreas,Heart
"What significant event took place on January 15, 1966, in Nigeria?",medium,A,First Military Coup,Independence Day,Civil War Declaration,Creation of Lagos State
Which actress played the lead role in the movie '30 Days in Atlanta'?,medium,A,Funke Akindele,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic
The _______ system is responsible for the exchange of gases in the body.,easy,D,Digestive,Nervous,Circulatory,Respiratory
What was the primary cause of the Nigerian Civil War?,hard,C,Tribalism,Economic Disparities,Ethnic Conflict,Political Assassination
Who is the Nigerian artist behind the song 'Joro'?,medium,A,Wizkid,Davido,Olamide,Burna Boy
Fill in the blank: The _______ is a network of bones that provides structure to the human body.,easy,B,Muscle,Skeletal system,Nervous system,Endocrine system
Which significant event occurred in Nigeria in 1914?,medium,A,The amalgamation of Lagos and the Protectorate of Nigeria,The establishment of the Nigerian Railway Corporation,The start of World War I,The introduction of the British Education System
_______ is a popular Nigerian comedian known for his 'Coco' series.,medium,B,Bovi,Basketmouth,Ali Baba,Mr. Jollof
The _______ is the organ that regulates metabolism in the human body.,easy,B,Pancreas,Thyroid,Liver,Spleen
Who led the Nigerian independence movement in the 1940s?,medium,A,Nnamdi Azikiwe,Obafemi Awolowo,Ahmadu Bello,Michael Imoudu
_______ is the Nigerian singer who gained fame with his hit 'Jealous'.,easy,A,Fireboy DML,Rema,Omah Lay,Wavy The Creator
Fill in the blank: The _______ is responsible for the body's temperature regulation.,medium,D,Nervous system,Endocrine system,Muscular system,Integumentary system
What was the primary objective of the Biafran War?,hard,A,To establish a separate nation,To gain political power,To end colonial rule,To redistribute land
Which Nigerian artist is known for his collaboration with Beyoncé on 'Brown Skin Girl'?,medium,A,Wizkid,Davido,Tekno,Olamide
In which year was Nigeria's first military coup?,hard,C,1960,1963,1966,1970
_______ is the Nigerian actress who starred in 'The Figurine'.,medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic,Funke Akindele
Fill in the blank: The _______ is the main organ of the circulatory system.,easy,C,Vein,Artery,Heart,Capillary
What year did Nigeria's first republic begin?,medium,A,1963,1960,1979,1983
_______ is known as the 'Queen of Nollywood'.,easy,B,Funke Akindele,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic
Which Nigerian leader was in power during the oil boom of the 1970s?,medium,C,Obafemi Awolowo,Umaru Musa Yar'Adua,Yakubu Gowon,Muhammadu Buhari
_______ is the Nigerian artist known for the song 'Soco'.,easy,A,Wizkid,Davido,Tiwa Savage,Burna Boy
Fill in the blank: The _______ is where the exchange of oxygen and carbon dioxide occurs in the lungs.,medium,B,Bronchi,Alveoli,Trachea,Diaphragm
"Born in 1970, this Nigerian artist is known for the song 'African Queen'. Who is he?",easy,A,2Baba,P-Square,Davido,Wizkid
The _______ is known as the control center of the nervous system.,easy,C,Heart,Spinal Cord,Brain,Lungs
This Nigerian singer won the Grammy Award for Best World Music Album in 2021. Who is he?,medium,A,Burna Boy,Yemi Alade,Adekunle Gold,Olamide
Which year marked the beginning of Nigeria's military rule?,medium,B,1960,1983,1975,1999
Fill in the blank: The _______ are a major ethnic group in Nigeria known for their rich cultural heritage.,easy,C,Yoruba,Hausa,Igbo,Fulani
This artist is known for the hit song 'Joro'. Who is he?,easy,B,Davido,Wizkid,Olamide,Tekno
The _______ system is responsible for transporting oxygen and nutrients in the body.,easy,B,Digestive,Circulatory,Respiratory,Nervous
"Who is regarded as one of the greatest Nigerian filmmakers, known for the movie 'Figuring Out' ?",medium,A,Kunle Afolayan,Tunde Kelani,Ishaya Bako,Jeta Amata
The _______ is known as the body's defense system against infections.,easy,C,Endocrine,Nervous,Immune,Respiratory
Which Nigerian state is known as the 'Land of Rising Sun'?,medium,A,Enugu,Lagos,Abuja,Kano
This Nigerian singer is known for the song 'Soco'. Who is he?,easy,B,Blaqbonez,Wizkid,Rema,Adekunle Gold
In which year did Nigeria's independence struggle begin?,medium,B,1945,1950,1960,1954
Who is the Nigerian actress that starred in 'The Figurine'?,medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Funke Akindele,Rita Dominic
This Nigerian musician is known for the song 'Jerusalema' remix. Who is he?,medium,D,Master KG,Davido,Wizkid,Burna Boy
Fill in the blank: _______ is the largest artery in the human body.,easy,C,Femoral,Carotid,Aorta,Pulmonary
"Who is known for the mantra 'I am a Nigerian, I am a superstar'?",medium,B,2Baba,Wizkid,Davido,P-Square
The _______ connects the brain to the rest of the body.,easy,B,Nerve,Spinal Cord,Vein,Artery
This actress is often called the 'Nollywood Queen'. Who is she?,medium,B,Omotola Jalade-Ekeinde,Genevieve Nnaji,Rita Dominic,Funke Akindele
Who is the Nigerian singer known for the hit 'Dumebi'?,easy,A,Rema,Omah Lay,Fireboy DML,Joeboy
Fill in the blank: The _______ is crucial for breathing and is located in the chest.,easy,A,Lungs,Heart,Diaphragm,Trachea
This artist is famous for the song 'Fia'. Who is he?,medium,A,Davido,Burna Boy,Wizkid,Olamide
The _______ is the part of the eye that controls the amount of light entering it.,easy,B,Cornea,Iris,Lens,Retina
This Nigerian music group is known for their energetic performances and hit songs. Who are they?,medium,A,P-Square,Bracket,Black Magic,The Cavemen
Fill in the blank: The _______ is the organ responsible for producing insulin.,easy,B,Liver,Pancreas,Kidney,Spleen
This singer is known for the hit song 'Bum Bum'. Who is he?,medium,A,Timaya,D'banj,Olamide,Kizz Daniel
Who led the Nigerian independence movement against British colonial rule?,medium,B,Obafemi Awolowo,Nnamdi Azikiwe,Ahmadu Bello,Michael Imoudu
In which Nigerian city is the famous 'Lekki Leisure Lake' located?,easy,B,Abuja,Lagos,Port Harcourt,Ibadan
Which actress starred in the movie 'The Wedding Party'?,medium,C,Genevieve Nnaji,Rita Dominic,Adesua Etomi,Omotola Jalade
Who was the military ruler of Nigeria from 1985 to 1993?,medium,B,Sani Abacha,Ibrahim Babangida,Muhammadu Buhari,Olusegun Obasanjo
Which Nigerian musician is known for his unique blend of Afrobeat and jazz?,hard,A,Fela Kuti,Burna Boy,Wizkid,Davido
Fill in the blank: The _______ is a popular Nigerian movie genre characterized by its dramatic storytelling.,medium,B,Telenovela,Nollywood,Kannywood,Documentary
The primary function of the lungs is to facilitate _______ exchange.,easy,B,Nutrient,Gas,Fluid,Waste
Which event led to the formation of the Nigerian National Congress in 1920?,hard,B,The First World War,The British Colonial Rule,The Lagos Crisis,The African Conference
Who played the lead role in the movie 'Half of a Yellow Sun'?,medium,C,Thandie Newton,Genevieve Nnaji,Chiwetel Ejiofor,Omotola Jalade
Fill in the blank: The _______ is responsible for regulating body temperature in humans.,medium,A,Brain,Heart,Liver,Skin
Which of these artists is known for the hit song 'Dumebi'?,medium,A,Rema,Omah Lay,Joeboy,Fireboy DML
The human digestive system begins with the _______.,easy,B,Stomach,Mouth,Esophagus,Intestines
Which country did Nigeria fight a war against from 1967 to 1970?,hard,C,Ghana,Cameroon,Biafra,Benin
What genre of music is Burna Boy primarily associated with?,medium,B,Hip Hop,Afrobeats,Reggae,Jazz
The primary purpose of the kidneys is to filter _______.,easy,D,Blood,Oxygen,Nutrients,Waste
Which Nigerian leader is famously known for the 'Five-Point Agenda'?,medium,D,Goodluck Jonathan,Olusegun Obasanjo,Muhammadu Buhari,Umaru Musa Yar'Adua
Who is the artist behind the popular song 'Joro'?,medium,B,Olamide,Wizkid,Davido,Tekno
Fill in the blank: The _______ is the body's largest source of energy.,easy,A,Carbohydrates,Proteins,Fats,Vitamins
Which popular Nigerian show features the character 'Aunty Maria'?,medium,B,Jenifa's Diary,The Johnsons,Tinsel,Gidi Up
The human body's primary source of calcium is _______.,easy,B,Meat,Dairy,Vegetables,Fruits
Which Nollywood actor is known for his role in '30 Days in Atlanta'?,medium,A,Ayo Makun,Jim Iyke,Desmond Elliot,Ramsey Nouah
"Fill in the blank: The _______ is the body's powerhouse, responsible for energy production.",hard,A,Mitochondria,Nucleus,Ribosome,Cytoplasm
Who was the leader of the Nigerian coup d'état in 1966?,hard,C,Yakubu Gowon,Muhammadu Buhari,Aguiyi Ironsi,Murtala Mohammed
Which musician's real name is Ayo Balogun?,easy,A,Wizkid,Olamide,Davido,Tekno
The first Nigerian female Minister of Finance was _______.,hard,A,Ngozi Okonjo-Iweala,Zainab Ahmed,Kemi Adeosun,Amina Mohammed
Which actress is known for her role in the series 'Shanty Town'?,medium,D,Adesua Etomi,Ini Edo,Genevieve Nnaji,Omotola Jalade
Fill in the blank: The _______ is responsible for transmitting signals in the nervous system.,easy,A,Neuron,Glia,Axon,Dendrite
Who is known for the song 'Soco'?,medium,A,Wizkid,Davido,Olamide,Burna Boy
Fill in the blank: The _______ is a popular Nigerian dish made from cassava flour.,easy,A,Eba,Pounded Yam,Fufu,Jollof Rice
The process by which the body maintains a stable internal environment is called _______.,medium,A,Homeostasis,Metabolism,Respiration,Digestion
The organ responsible for detoxifying chemicals in the body is the _______.,easy,A,Liver,Kidney,Heart,Lungs
The Nigerian currency is known as _______.,easy,A,Naira,Cedi,Shilling,Dinar
Which Nigerian artist is famous for the song 'Johnny'?,medium,A,Yemi Alade,Tiwa Savage,Simi,Waje
Which of these musicians is known as the 'African Giant'?,medium,C,Davido,Wizkid,Burna Boy,Olamide
The body's immune response is primarily managed by _______.,medium,A,White blood cells,Red blood cells,Platelets,Plasma
Which significant political figure was assassinated in 1990 in Nigeria?,hard,A,Bola Ige,Marwa,Abiola,Gani Fawehinmi
Who is the lead singer of the band 'The Cavemen'?,medium,A,Kingsley Okorie,Tobi Adeyinka,Omo Oloja,Chike Osebuka
The human body's main source of vitamin D is _______.,easy,A,Sunlight,Water,Air,Food
What was the primary reason for Nigeria's civil war?,hard,A,Ethnic tensions,Economic issues,Colonial legacy,Political power
Which Nigerian artist is known for the song 'Ada'?,medium,A,Mercy Chinwo,Sinach,Judikay,Tim Godfrey
Which Nigerian state is known for the annual Osun-Osogbo festival?,medium,C,Ekiti,Oyo,Osun,Ondo
Who is known as the 'Queen of Afrobeats'?,medium,A,Tiwa Savage,Yemi Alade,Simi,Niniola
"In human anatomy, the brain is divided into how many main parts?",medium,C,2,5,3,4
Fill in the blank: The _______ War was fought in Nigeria from 1967 to 1970.,hard,A,Biafran,Nigerian Civil,World,Independence
Which Nigerian musician is known for the genre of Afrobeats and the song 'Ye'?,medium,A,Burna Boy,Davido,Wizkid,Olamide
The human body has how many primary types of tissue?,easy,B,3,4,5,6
Fill in the blank: The _______ is considered the first capital of Nigeria.,easy,A,Lagos,Abuja,Calabar,Ibadan
Who is the Nigerian musician known for his hit song 'Ojuelegba'?,medium,A,Wizkid,Davido,Olamide,Simi
Fill in the blank: The _______ Constitution was Nigeria's first constitution.,medium,C,Independence,Lagos,Richard,Nigerian
Which Nigerian film won the Best International Feature Film at the Oscars in 2020?,hard,A,Lionheart,The Wedding Party,The Figurine,The Last Tree
What part of the human body is primarily responsible for regulating body temperature?,medium,A,Skin,Liver,Brain,Heart
Which historical figure is known for leading Nigeria during its independence negotiations?,hard,A,Nnamdi Azikiwe,Obafemi Awolowo,Ahmadu Bello,Michael Okpara
Who is the popular Nigerian singer known for the song 'Duduke'?,easy,A,Simi,Tiwa Savage,Yemi Alade,Niniola
Which major event occurred in Nigeria in 1970?,medium,A,Civil War ended,Independence gained,First republic established,Military coup occurred
The Nigerian musician who is known as the 'African Giant' is _______.,medium,B,Wizkid,Burna Boy,Davido,2Baba
The Nigerian artist known for the song 'Essence' is _______.,medium,A,Tems,Simi,Yemi Alade,Tiwa Savage
Which organ is primarily responsible for filtering blood in the human body?,easy,B,Heart,Kidneys,Liver,Lungs
Fill in the blank: The _______ was the first Nigerian television station.,medium,A,NTA,AIT,STV,LTV
Which singer is referred to as the 'Queen of Afrobeats'?,medium,A,Tiwa Savage,Yemi Alade,Simi,Niniola
The human digestive system primarily starts at the _______.,easy,A,Mouth,Stomach,Esophagus,Small intestine
Which Nigerian filmmaker is known for the movie 'Fifty'?,medium,A,Kemi Adetiba,Kunle Afolayan,Ishaya Bako,Genevieve Nnaji
The primary role of the liver in the human body includes _______.,medium,D,Producing insulin,Filtering waste,Regulating temperature,Producing bile
